status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status,from_status,when,days_in_from_status,who,to_status,days_since_open,transition,weekday,week_of_year,day,month,year,sec_to_sol,sec_passed_so_far,logsec_to_sol,transictions_so_far,issue_solved_by_assignee,calendar_day,count,count_month_of_year,count_year,team_count
1,2,2018-02-22T00:52:52.033+0000,1,elmendavies,2018-02-12T16:12:41.548+0000,2018-02-22T00:52:52.017+0000,0,AVRO,2,6,AVRO-2143,753.0,66,3,1,63.2628663303,0,2018-02-12T16:12:41.548+0000,0.0,36,0,0.0,Non-existent to Open,0.0,7.0,12.0,2.0,2018.0,808810.469,0.0,13.603319890472086,0.0,6,12-2-2018,529,1011,1644,2.0
1,2,2018-02-22T00:52:52.033+0000,1,elmendavies,2018-02-12T16:12:41.548+0000,2018-02-22T00:52:52.017+0000,0,AVRO,2,6,AVRO-2143,753.0,66,3,1,63.2628663303,1,2018-02-13T19:33:43.294+0000,1.13960354167,22,1,1.13960354167,Open to Patch Available,1.0,7.0,13.0,2.0,2018.0,710348.723,98461.746,13.47351128759325,1.0,6,13-2-2018,104,1011,1644,2.0
1,2,2018-02-23T00:10:37.233+0000,1,kdrakon,2018-01-18T02:49:13.924+0000,2018-02-22T19:26:30.813+0000,0,AVRO,2,15,AVRO-2132,1096.0,66,5,1,62.4895004412,0,2018-01-18T02:49:13.924+0000,0.0,69,0,0.0,Non-existent to Open,3.0,3.0,18.0,1.0,2018.0,3083836.889,0.0,14.941685122837349,0.0,6,18-1-2018,523,523,1644,2.0
1,2,2018-02-27T22:06:15.650+0000,0,radai,2017-05-17T01:27:34.188+0000,2018-02-27T22:06:15.627+0000,0,AVRO,2,15,AVRO-2035,1569.0,57,7,1,57.3785652891,0,2017-05-17T01:27:34.188+0000,0.0,107,0,0.0,Non-existent to Open,2.0,20.0,17.0,5.0,2017.0,24784721.439,0.0,17.025737950277424,0.0,6,17-5-2017,484,484,4030,2.0
1,2,2018-02-27T22:06:15.650+0000,0,radai,2017-05-17T01:27:34.188+0000,2018-02-27T22:06:15.627+0000,0,AVRO,2,15,AVRO-2035,1569.0,57,7,1,57.3785652891,1,2017-06-22T17:01:14.742+0000,36.6483860417,22,1,36.6483860417,Open to Patch Available,3.0,25.0,22.0,6.0,2017.0,21618300.885,3166420.554,16.889050777123988,1.0,6,22-6-2017,101,807,4030,2.0
1,2,2018-02-27T22:06:15.650+0000,0,radai,2017-05-17T01:27:34.188+0000,2018-02-27T22:06:15.627+0000,0,AVRO,2,15,AVRO-2035,1569.0,57,7,1,57.3785652891,2,2017-06-26T16:02:33.186+0000,3.95924125,22,2,40.6076272917,Patch Available to Resolved,0.0,26.0,26.0,6.0,2017.0,21276222.441,3508498.998,16.873100689809434,2.0,6,26-6-2017,220,807,4030,2.0
1,2,2018-02-27T22:06:15.650+0000,0,radai,2017-05-17T01:27:34.188+0000,2018-02-27T22:06:15.627+0000,0,AVRO,2,15,AVRO-2035,1569.0,57,7,1,57.3785652891,2,2017-06-26T16:02:33.186+0000,3.95924125,22,2,40.6076272917,Patch Available to Resolved,0.0,26.0,26.0,6.0,2017.0,21276222.441,3508498.998,16.873100689809434,2.0,6,26-6-2017,0,807,4030,2.0
1,2,2018-02-27T22:06:15.650+0000,0,radai,2017-05-17T01:27:34.188+0000,2018-02-27T22:06:15.627+0000,0,AVRO,2,15,AVRO-2035,1569.0,57,7,1,57.3785652891,2,2017-06-26T16:02:33.186+0000,3.95924125,22,2,40.6076272917,Patch Available to Resolved,0.0,26.0,26.0,6.0,2017.0,21276222.441,3508498.998,16.873100689809434,2.0,6,26-6-2017,5,807,4030,2.0
1,2,2018-02-27T22:06:15.650+0000,0,radai,2017-05-17T01:27:34.188+0000,2018-02-27T22:06:15.627+0000,0,AVRO,2,15,AVRO-2035,1569.0,57,7,1,57.3785652891,2,2018-02-22T23:08:52.349+0000,241.296055127,22,2,281.903682419,Resolved to Reopened,3.0,8.0,22.0,2.0,2018.0,428243.278,24356478.161,12.96744671962418,3.0,6,22-2-2018,268,1011,1644,2.0
1,2,2018-02-27T22:06:15.650+0000,0,radai,2017-05-17T01:27:34.188+0000,2018-02-27T22:06:15.627+0000,0,AVRO,2,15,AVRO-2035,1569.0,57,7,1,57.3785652891,2,2018-02-22T23:08:52.349+0000,241.296055127,22,2,281.903682419,Resolved to Reopened,3.0,8.0,22.0,2.0,2018.0,428243.278,24356478.161,12.96744671962418,3.0,6,22-2-2018,0,1011,1644,2.0
